No.,Title,Release Year,Movie Info,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),License
0,Star Wars: Episode VII - The Force Awakens (2015),2015,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",Walt Disney Studios Motion Pictures,937,1133,2070,PG-13
1,Avengers: Endgame (2019),2019,"After the devastating events of Avengers: Infinity War, the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Walt Disney Studios Motion Pictures,858,1939,2798,PG-13
2,Avatar (2009),2009,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,Twentieth Century Fox,761,2087,2847,PG-13
3,Black Panther (2018),2018,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Walt Disney Studios Motion Pictures,700,647,1348,PG-13
4,Avengers: Infinity War (2018),2018,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Walt Disney Studios Motion Pictures,679,1370,2048,PG-13
5,Spider-Man: No Way Home (2021),2021,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Sony Pictures Entertainment (SPE),676,869,1544,PG-13
6,Titanic (1997),1997,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",Paramount Pictures,659,1542,2202,PG-13
7,Jurassic World (2015),2015,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",Universal Pictures,652,1018,1671,PG-13
8,The Avengers (2012),2012,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Walt Disney Studios Motion Pictures,623,895,1519,PG-13
9,Star Wars: Episode VIII - The Last Jedi (2017),2017,"The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.",Walt Disney Studios Motion Pictures,620,713,1333,PG-13
10,Incredibles 2 (2018),2018,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,Walt Disney Studios Motion Pictures,609,635,1243,PG
11,The Lion King (2019),2019,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",Walt Disney Studios Motion Pictures,544,1119,1663,PG
12,The Dark Knight (2008),2008,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Warner Bros.,535,471,1006,PG-13
13,Rogue One: A Star Wars Story (2016),2016,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",Walt Disney Studios Motion Pictures,532,524,1056,PG-13
14,Star Wars: Episode IX - The Rise of Skywalker (2019),2019,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",Walt Disney Studios Motion Pictures,515,559,1074,PG-13
15,Beauty and the Beast (2017),2017,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",Walt Disney Studios Motion Pictures,504,769,1274,PG
16,Finding Dory (2016),2016,"Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",Walt Disney Studios Motion Pictures,486,542,1029,PG
17,Frozen II (2019),2019,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",Walt Disney Studios Motion Pictures,477,973,1450,PG
18,Star Wars: Episode I - The Phantom Menace (1999),1999,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",Twentieth Century Fox,475,553,1027,PG
19,Star Wars: Episode IV - A New Hope (1977),1977,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Twentieth Century Fox,461,196,775,PG
20,Avengers: Age of Ultron (2015),2015,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",Walt Disney Studios Motion Pictures,459,944,1403,PG-13
21,The Dark Knight Rises (2012),2012,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Warner Bros.,448,633,1081,PG-13
22,Shrek 2 (2004),2004,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",DreamWorks Distribution,441,488,929,PG
23,E.T. the Extra-Terrestrial (1982),1982,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,Universal Pictures,435,304,793,PG
24,Toy Story 4 (2019),2019,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",Walt Disney Studios Motion Pictures,434,639,1073,PG
25,Captain Marvel (2019),2019,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,Walt Disney Studios Motion Pictures,427,702,1128,PG-13
26,The Hunger Games: Catching Fire (2013),2013,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,Lionsgate,425,440,865,PG-13
27,Pirates of the Caribbean: Dead Man's Chest (2006),2006,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",Walt Disney Studios Motion Pictures,423,643,1066,PG-13
28,The Lion King (1994),1994,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Walt Disney Studios Motion Pictures,423,641,1064,PG
29,Jurassic World: Fallen Kingdom (2018),2018,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",Universal Pictures,418,893,1310,PG-13
30,Toy Story 3 (2010),2010,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Walt Disney Studios Motion Pictures,415,652,1067,PG
31,Wonder Woman (2017),2017,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",Warner Bros.,413,410,823,PG-13
32,Iron Man 3 (2013),2013,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Walt Disney Studios Motion Pictures,409,806,1215,PG-13
33,Captain America: Civil War (2016),2016,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,Walt Disney Studios Motion Pictures,408,745,1153,PG-13
34,The Hunger Games (2012),2012,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Lionsgate,408,286,694,PG-13
35,Spider-Man (2002),2002,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",Sony Pictures Entertainment (SPE),407,418,825,PG-13
36,Jumanji: Welcome to the Jungle (2017),2017,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",Sony Pictures Entertainment (SPE),405,558,963,PG-13
37,Jurassic Park (1993),1993,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Universal Pictures,404,630,1034,PG-13
38,Transformers: Revenge of the Fallen (2009),2009,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",DreamWorks,402,434,836,PG-13
39,Frozen (2013),2013,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",Walt Disney Studios Motion Pictures,401,881,1282,PG
40,Spider-Man: Far from Home (2019),2019,"Following the events of Avengers: Endgame, Spider-Man must step up to take on new threats in a world that has changed forever.",Sony Pictures Entertainment (SPE),391,741,1132,PG-13
41,Guardians of the Galaxy Vol. 2 (2017),2017,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",Walt Disney Studios Motion Pictures,390,474,864,PG-13
42,Harry Potter and the Deathly Hallows: Part 2 (2011),2011,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",Warner Bros.,381,961,1342,PG
43,Finding Nemo (2003),2003,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Walt Disney Studios Motion Pictures,381,560,940,PG
44,Star Wars: Episode III - Revenge of the Sith (2005),2005,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",Twentieth Century Fox,380,488,868,PG-13
45,The Lord of the Rings: The Return of the King (2003),2003,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,New Line Cinema,378,768,1146,PG-13
46,Spider-Man 2 (2004),2004,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,Sony Pictures Entertainment (SPE),374,415,789,PG-13
47,The Passion of the Christ (2004),2004,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",Newmarket Films,371,241,612,R
48,The Secret Life of Pets (2016),2016,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",Universal Pictures,368,507,875,PG
49,Despicable Me 2 (2013),2013,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",Universal Pictures,368,603,971,PG
50,The Jungle Book (2016),2016,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",Walt Disney Studios Motion Pictures,364,603,967,PG
51,Deadpool (2016),2016,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Twentieth Century Fox,363,420,783,R
52,Inside Out (2015),2015,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Walt Disney Studios Motion Pictures,357,502,859,PG
53,Aladdin (2019),2019,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Walt Disney Studios Motion Pictures,356,695,1051,PG
54,Furious 7 (2015),2015,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Universal Pictures,353,1162,1515,PG-13
55,Transformers: Dark of the Moon (2011),2011,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",DreamWorks,352,771,1124,PG-13
