No.,Title,Release Year,Movie Info,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),License
0,Star Wars: Episode VII - The Force Awakens (2015),2015,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",Walt Disney Studios Motion Pictures,"$936,662,225.00","$1,132,859,475.00","$2,069,521,700.00",PG-13
1,Avengers: Endgame (2019),2019,"After the devastating events of Avengers: Infinity War, the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Walt Disney Studios Motion Pictures,"$858,373,000.00","$1,939,128,328.00","$2,797,501,328.00",PG-13
2,Avatar (2009),2009,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,Twentieth Century Fox,"$760,507,625.00","$2,086,738,578.00","$2,847,246,203.00",PG-13
3,Black Panther (2018),2018,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Walt Disney Studios Motion Pictures,"$700,426,566.00","$647,171,407.00","$1,347,597,973.00",PG-13
4,Avengers: Infinity War (2018),2018,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Walt Disney Studios Motion Pictures,"$678,815,482.00","$1,369,544,272.00","$2,048,359,754.00",PG-13
5,Spider-Man: No Way Home (2021),2021,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Sony Pictures Entertainment (SPE),"$675,813,257.00","$868,642,706.00","$1,544,455,963.00",PG-13
6,Titanic (1997),1997,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",Paramount Pictures,"$659,363,944.00","$1,542,283,320.00","$2,201,647,264.00",PG-13
7,Jurassic World (2015),2015,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",Universal Pictures,"$652,385,625.00","$1,018,130,819.00","$1,670,516,444.00",PG-13
8,The Avengers (2012),2012,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Walt Disney Studios Motion Pictures,"$623,357,910.00","$895,457,605.00","$1,518,815,515.00",PG-13
9,Star Wars: Episode VIII - The Last Jedi (2017),2017,"The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past.",Walt Disney Studios Motion Pictures,"$620,181,382.00","$712,517,448.00","$1,332,698,830.00",PG-13
10,Incredibles 2 (2018),2018,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,Walt Disney Studios Motion Pictures,"$608,581,744.00","$634,507,500.00","$1,243,089,244.00",PG
11,The Lion King (2019),2019,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",Walt Disney Studios Motion Pictures,"$543,638,043.00","$1,119,261,396.00","$1,662,899,439.00",PG
12,The Dark Knight (2008),2008,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Warner Bros.,"$534,858,444.00","$471,115,201.00","$1,005,973,645.00",PG-13
13,Rogue One: A Star Wars Story (2016),2016,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",Walt Disney Studios Motion Pictures,"$532,177,324.00","$523,880,396.00","$1,056,057,720.00",PG-13
14,Star Wars: Episode IX - The Rise of Skywalker (2019),2019,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",Walt Disney Studios Motion Pictures,"$515,202,542.00","$558,946,737.00","$1,074,149,279.00",PG-13
15,Beauty and the Beast (2017),2017,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",Walt Disney Studios Motion Pictures,"$504,481,165.00","$769,095,055.00","$1,273,576,220.00",PG
16,Finding Dory (2016),2016,"Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",Walt Disney Studios Motion Pictures,"$486,295,561.00","$542,275,381.00","$1,028,570,942.00",PG
17,Frozen II (2019),2019,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",Walt Disney Studios Motion Pictures,"$477,373,578.00","$972,653,355.00","$1,450,026,933.00",PG
18,Star Wars: Episode I - The Phantom Menace (1999),1999,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",Twentieth Century Fox,"$474,544,677.00","$552,538,030.00","$1,027,082,707.00",PG
19,Star Wars: Episode IV - A New Hope (1977),1977,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Twentieth Century Fox,"$460,998,507.00","$195,751,992.00","$775,398,007.00",PG
20,Avengers: Age of Ultron (2015),2015,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",Walt Disney Studios Motion Pictures,"$459,005,868.00","$943,803,672.00","$1,402,809,540.00",PG-13
21,The Dark Knight Rises (2012),2012,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Warner Bros.,"$448,139,099.00","$633,003,513.00","$1,081,142,612.00",PG-13
22,Shrek 2 (2004),2004,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",DreamWorks Distribution,"$441,226,247.00","$487,534,523.00","$928,760,770.00",PG
23,E.T. the Extra-Terrestrial (1982),1982,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,Universal Pictures,"$435,110,554.00","$304,203,888.00","$792,910,554.00",PG
24,Toy Story 4 (2019),2019,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",Walt Disney Studios Motion Pictures,"$434,038,008.00","$639,356,585.00","$1,073,394,593.00",PG
